"cruise","station","cast","cast_type","net_type","mesh","purpose","stableisotope_sizerange","PI_recipient","fixative","net_fraction","no_of_jars","comments_logsheets","comments_reMissingSample"
"EN608","L3",5,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"NA","NA"
"EN608","L4",8,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"No picking sample--needed it for 200-500 size fraction that I dumped accidentally","NA"
"EN608","L5",9,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"NA","NA"
"EN608","L6",12,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"NA","NA"
"EN608","L11",19,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"Did not include a tunicate and Phronima amphipod in >1000um fraction.","NA"
"EN608","L10",21,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"Did not include a salp in the >1000um fraction","NA"
"EN608","L9",22,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"NA","NA"
"EN608","L7",23,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"150 net almost clogged with orangy goo. See if IFCB can see it. 200-500 fraction like fudge--very cohesive.","NA"
"EN608","MVCO",30,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"NA","NA"
"EN608","L1",1,"oblique","Bongo",150,"stableisotope",">200&<500","Llopiz","Frz",0.25,1,"Pay-out speed of 10m/min (instead of 20 like NOAA does). We changed the pay-out speed for the rest of the stations too. They were reduced, and maxed out at 30 m/min whereas NOAA goes up to 50--the ship wanted to keep it to 30. Also, because of the chaos with everything and having to deploy the rake, the nets weren't rinsed about an hour after retrieval. SIze fraction samples in tin foil (except 20-100), but in vials for the rest of the cruise.","NA"
"EN608","L2",4,"oblique","Bongo",150,"stableisotope",">200&<500","Llopiz","Frz",0.25,1,"Spilled about 5% of 150um sample. Down at 30 m/min, up at 18 initially then 14 soon after.","NA"
"EN608","L3",5,"oblique","Bongo",150,"stableisotope",">200&<500","Llopiz","Frz",0.25,1,"NA","NA"
"EN608","L4",8,"oblique","Bongo",150,"stableisotope",">200&<500","Llopiz","Frz",0.25,1,"No picking sample--needed it for 200-500 size fraction that I dumped accidentally","NA"
"EN608","L5",9,"oblique","Bongo",150,"stableisotope",">200&<500","Llopiz","Frz",0.25,1,"NA","NA"
"EN608","L6",12,"oblique","Bongo",150,"stableisotope",">200&<500","Llopiz","Frz",0.25,1,"NA","NA"
"EN608","L11",19,"oblique","Bongo",150,"stableisotope",">200&<500","Llopiz","Frz",0.25,1,"Did not include a tunicate and Phronima amphipod in >1000um fraction.","NA"
"EN608","L10",21,"oblique","Bongo",150,"stableisotope",">200&<500","Llopiz","Frz",0.25,1,"Did not include a salp in the >1000um fraction","NA"
"EN608","L9",22,"oblique","Bongo",150,"stableisotope",">200&<500","Llopiz","Frz",0.25,1,"NA","NA"
"EN608","L7",23,"oblique","Bongo",150,"stableisotope",">200&<500","Llopiz","Frz",0.25,1,"150 net almost clogged with orangy goo. See if IFCB can see it. 200-500 fraction like fudge--very cohesive.","NA"
"EN608","MVCO",30,"oblique","Bongo",150,"stableisotope",">200&<500","Llopiz","Frz",0.25,1,"NA","NA"
"EN608","L1",1,"oblique","Ring",20,"stableisotope",">100&<200","Llopiz","Frz",0.25,1,"Pay-out speed of 10m/min (instead of 20 like NOAA does). We changed the pay-out speed for the rest of the stations too. They were reduced, and maxed out at 30 m/min whereas NOAA goes up to 50--the ship wanted to keep it to 30. Also, because of the chaos with everything and having to deploy the rake, the nets weren't rinsed about an hour after retrieval. SIze fraction samples in tin foil (except 20-100), but in vials for the rest of the cruise.","NA"
"EN608","L2",4,"oblique","Ring",20,"stableisotope",">100&<200","Llopiz","Frz",1,1,"Spilled about 5% of 150um sample. Down at 30 m/min, up at 18 initially then 14 soon after.","NA"
"EN608","L3",5,"oblique","Ring",20,"stableisotope",">100&<200","Llopiz","Frz",1,1,"NA","NA"
"EN608","L4",8,"oblique","Ring",20,"stableisotope",">100&<200","Llopiz","Frz",1,1,"No picking sample--needed it for 200-500 size fraction that I dumped accidentally","NA"
"EN608","L5",9,"oblique","Ring",20,"stableisotope",">100&<200","Llopiz","Frz",1,1,"NA","NA"
"EN608","L6",12,"oblique","Ring",20,"stableisotope",">100&<200","Llopiz","Frz",1,1,"NA","NA"
"EN608","L11",19,"oblique","Ring",20,"stableisotope",">100&<200","Llopiz","Frz",1,1,"Did not include a tunicate and Phronima amphipod in >1000um fraction.","NA"
"EN608","L10",21,"oblique","Ring",20,"stableisotope",">100&<200","Llopiz","Frz",1,1,"Did not include a salp in the >1000um fraction","NA"
"EN608","L9",22,"oblique","Ring",20,"stableisotope",">100&<200","Llopiz","Frz",1,1,"NA","NA"
"EN608","L7",23,"oblique","Ring",20,"stableisotope",">100&<200","Llopiz","Frz",1,1,"150 net almost clogged with orangy goo. See if IFCB can see it. 200-500 fraction like fudge--very cohesive.","NA"
"EN608","MVCO",30,"oblique","Ring",20,"stableisotope",">100&<200","Llopiz","Frz",1,1,"NA","NA"
"EN608","L1",1,"oblique","Ring",20,"stableisotope",">20&<100","Llopiz","Frz",1,1,"Pay-out speed of 10m/min (instead of 20 like NOAA does). We changed the pay-out speed for the rest of the stations too. They were reduced, and maxed out at 30 m/min whereas NOAA goes up to 50--the ship wanted to keep it to 30. Also, because of the chaos with everything and having to deploy the rake, the nets weren't rinsed about an hour after retrieval. SIze fraction samples in tin foil (except 20-100), but in vials for the rest of the cruise.","Sample in foil packet rather than vial."
"EN608","L2",4,"oblique","Ring",20,"stableisotope",">20&<100","Llopiz","Frz",1,1,"Spilled about 5% of 150um sample. Down at 30 m/min, up at 18 initially then 14 soon after.","NA"
"EN608","L3",5,"oblique","Ring",20,"stableisotope",">20&<100","Llopiz","Frz",1,1,"NA","NA"
"EN608","L4",8,"oblique","Ring",20,"stableisotope",">20&<100","Llopiz","Frz",1,1,"No picking sample--needed it for 200-500 size fraction that I dumped accidentally","NA"
"EN608","L5",9,"oblique","Ring",20,"stableisotope",">20&<100","Llopiz","Frz",1,1,"NA","NA"
"EN608","L6",12,"oblique","Ring",20,"stableisotope",">20&<100","Llopiz","Frz",1,1,"NA","NA"
"EN608","L11",19,"oblique","Ring",20,"stableisotope",">20&<100","Llopiz","Frz",1,1,"Did not include a tunicate and Phronima amphipod in >1000um fraction.","NA"
"EN608","L10",21,"oblique","Ring",20,"stableisotope",">20&<100","Llopiz","Frz",1,1,"Did not include a salp in the >1000um fraction","NA"
"EN608","L9",22,"oblique","Ring",20,"stableisotope",">20&<100","Llopiz","Frz",1,1,"NA","NA"
"EN608","L7",23,"oblique","Ring",20,"stableisotope",">20&<100","Llopiz","Frz",1,1,"150 net almost clogged with orangy goo. See if IFCB can see it. 200-500 fraction like fudge--very cohesive.","NA"
"EN608","MVCO",30,"oblique","Ring",20,"stableisotope",">20&<100","Llopiz","Frz",1,1,"NA","NA"
"EN608","L1",1,"oblique","Bongo",150,"taxapicking","NA","Llopiz","Frz",0.25,1,"Pay-out speed of 10m/min (instead of 20 like NOAA does). We changed the pay-out speed for the rest of the stations too. They were reduced, and maxed out at 30 m/min whereas NOAA goes up to 50--the ship wanted to keep it to 30. Also, because of the chaos with everything and having to deploy the rake, the nets weren't rinsed about an hour after retrieval. SIze fraction samples in tin foil (except 20-100), but in vials for the rest of the cruise.","NA"
"EN608","L2",4,"oblique","Bongo",150,"taxapicking","NA","Llopiz","Frz",0.25,1,"Spilled about 5% of 150um sample. Down at 30 m/min, up at 18 initially then 14 soon after.","NA"
"EN608","L3",5,"oblique","Bongo",150,"taxapicking","NA","Llopiz","Frz",0.25,1,"NA","NA"
"EN608","L4",8,"oblique","Bongo",150,"taxapicking","NA","Llopiz","Frz",1,0,"No picking sample--needed it for 200-500 size fraction that I dumped accidentally","NA"
"EN608","L5",9,"oblique","Bongo",150,"taxapicking","NA","Llopiz","Frz",0.25,1,"NA","NA"
"EN608","L6",12,"oblique","Bongo",150,"taxapicking","NA","Llopiz","Frz",0.25,1,"NA","NA"
"EN608","L11",19,"oblique","Bongo",150,"taxapicking","NA","Llopiz","Frz",0.25,1,"Did not include a tunicate and Phronima amphipod in >1000um fraction.","NA"
"EN608","L10",21,"oblique","Bongo",150,"taxapicking","NA","Llopiz","Frz",0.25,1,"Did not include a salp in the >1000um fraction","NA"
"EN608","L9",22,"oblique","Bongo",150,"taxapicking","NA","Llopiz","Frz",0.25,1,"NA","NA"
"EN608","L7",23,"oblique","Bongo",150,"taxapicking","NA","Llopiz","Frz",0.25,1,"150 net almost clogged with orangy goo. See if IFCB can see it. 200-500 fraction like fudge--very cohesive.","NA"
"EN608","MVCO",30,"oblique","Bongo",150,"taxapicking","NA","Llopiz","Frz",0.25,1,"NA","NA"
"EN608","L1",1,"oblique","Bongo",335,"morphID","NA","Richardson","F/SW",0.75,1,"Pay-out speed of 10m/min (instead of 20 like NOAA does). We changed the pay-out speed for the rest of the stations too. They were reduced, and maxed out at 30 m/min whereas NOAA goes up to 50--the ship wanted to keep it to 30. Also, because of the chaos with everything and having to deploy the rake, the nets weren't rinsed about an hour after retrieval. SIze fraction samples in tin foil (except 20-100), but in vials for the rest of the cruise.","NA"
"EN608","L2",4,"oblique","Bongo",335,"morphID","NA","Richardson","F/SW",0.75,1,"Spilled about 5% of 150um sample. Down at 30 m/min, up at 18 initially then 14 soon after.","NA"
"EN608","L3",5,"oblique","Bongo",335,"morphID","NA","Richardson","F/SW",0.75,1,"NA","NA"
"EN608","L4",8,"oblique","Bongo",335,"morphID","NA","Richardson","F/SW",0.75,1,"No picking sample--needed it for 200-500 size fraction that I dumped accidentally","NA"
"EN608","L5",9,"oblique","Bongo",335,"morphID","NA","Richardson","F/SW",0.75,1,"NA","NA"
"EN608","L6",12,"oblique","Bongo",335,"morphID","NA","Richardson","F/SW",0.75,1,"NA","NA"
"EN608","L11",19,"oblique","Bongo",335,"morphID","NA","Richardson","F/SW",0.75,1,"Did not include a tunicate and Phronima amphipod in >1000um fraction.","NA"
"EN608","L10",21,"oblique","Bongo",335,"morphID","NA","Richardson","F/SW",0.75,1,"Did not include a salp in the >1000um fraction","NA"
"EN608","L9",22,"oblique","Bongo",335,"morphID","NA","Richardson","F/SW",0.75,1,"NA","NA"
"EN608","L7",23,"oblique","Bongo",335,"morphID","NA","Richardson","F/SW",0.75,1,"150 net almost clogged with orangy goo. See if IFCB can see it. 200-500 fraction like fudge--very cohesive.","NA"
"EN608","MVCO",30,"oblique","Bongo",335,"morphID","NA","Richardson","F/SW",0.75,1,"NA","NA"
"EN608","L1",1,"oblique","Bongo",335,"DNA","NA","Rynearson","EtOH",0.25,1,"Pay-out speed of 10m/min (instead of 20 like NOAA does). We changed the pay-out speed for the rest of the stations too. They were reduced, and maxed out at 30 m/min whereas NOAA goes up to 50--the ship wanted to keep it to 30. Also, because of the chaos with everything and having to deploy the rake, the nets weren't rinsed about an hour after retrieval. SIze fraction samples in tin foil (except 20-100), but in vials for the rest of the cruise.","NA"
"EN608","L2",4,"oblique","Bongo",335,"DNA","NA","Rynearson","EtOH",0.25,1,"Spilled about 5% of 150um sample. Down at 30 m/min, up at 18 initially then 14 soon after.","NA"
"EN608","L3",5,"oblique","Bongo",335,"DNA","NA","Rynearson","EtOH",0.25,1,"NA","NA"
"EN608","L4",8,"oblique","Bongo",335,"DNA","NA","Rynearson","EtOH",0.25,1,"No picking sample--needed it for 200-500 size fraction that I dumped accidentally","NA"
"EN608","L5",9,"oblique","Bongo",335,"DNA","NA","Rynearson","EtOH",0.25,1,"NA","NA"
"EN608","L6",12,"oblique","Bongo",335,"DNA","NA","Rynearson","EtOH",0.25,1,"NA","NA"
"EN608","L11",19,"oblique","Bongo",335,"DNA","NA","Rynearson","EtOH",0.25,1,"Did not include a tunicate and Phronima amphipod in >1000um fraction.","NA"
"EN608","L10",21,"oblique","Bongo",335,"DNA","NA","Rynearson","EtOH",0.25,1,"Did not include a salp in the >1000um fraction","NA"
"EN608","L9",22,"oblique","Bongo",335,"DNA","NA","Rynearson","EtOH",0.25,1,"NA","NA"
"EN608","L7",23,"oblique","Bongo",335,"DNA","NA","Rynearson","EtOH",0.25,1,"150 net almost clogged with orangy goo. See if IFCB can see it. 200-500 fraction like fudge--very cohesive.","NA"
"EN608","MVCO",30,"oblique","Bongo",335,"DNA","NA","Rynearson","EtOH",0.25,1,"NA","NA"
"EN617","L1",1,"oblique","Bongo",150,"DNA","NA","Rynearson","EtOH",0.25,1,"For this entire cruise, using different winch from last cruise, and it doesn't have a wire out or speed reading. Yay. Had to mark off wire lengths with tape. All casts had same/similar speeds up and down. For this cast, speed was about 8m/min. Based on TDR data, we didn't attach it, but I swear I did (I didn't offload the data and didn't realize there were no data showing a cast until later in the cruise--it worked for the rest of the casts.)","NA"
"EN617","L2",2,"oblique","Bongo",150,"DNA","NA","Rynearson","EtOH",0.25,1,"Wire in/out speed ~8m/min","NA"
"EN617","L3",5,"oblique","Bongo",150,"DNA","NA","Rynearson","EtOH",0.25,1,"Wire speed ~15 m/min","NA"
"EN617","L4",8,"oblique","Bongo",150,"DNA","NA","Rynearson","EtOH",0.25,1,"Wire speed 20 down, 17 up. 20-100um size fraction lost","NA"
"EN617","L5",9,"oblique","Bongo",150,"DNA","NA","Rynearson","EtOH",0.25,1,"Wire speed ~18 up and down","NA"
"EN617","L6",12,"oblique","Bongo",150,"DNA","NA","Rynearson","EtOH",0.25,1,"NA","NA"
"EN617","L7",13,"oblique","Bongo",150,"DNA","NA","Rynearson","EtOH",0.25,1,"NA","NA"
"EN617","L8",14,"oblique","Bongo",150,"DNA","NA","Rynearson","EtOH",0.25,1,"up at 20m/min","NA"
"EN617","L9",17,"oblique","Bongo",150,"DNA","NA","Rynearson","EtOH",0.25,1,"NA","NA"
"EN617","L10",18,"oblique","Bongo",150,"DNA","NA","Rynearson","EtOH",0.25,1,"Crazy keeping track of measurements on wire, ship speed all over the place. Not sure how it went deeper than the bottom depth, unless we headed toward deeper water and got lucky. No mud in net.","NA"
"EN617","L11",21,"oblique","Bongo",150,"DNA","NA","Rynearson","EtOH",0.25,1,"~215 m of wire out (bad measurement, probably--JKL)","NA"
"EN617","MVCO",35,"oblique","Bongo",150,"DNA","NA","Rynearson","EtOH",0.25,1,"NA","NA"
"EN617","L1",1,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"For this entire cruise, using different winch from last cruise, and it doesn't have a wire out or speed reading. Yay. Had to mark off wire lengths with tape. All casts had same/similar speeds up and down. For this cast, speed was about 8m/min. Based on TDR data, we didn't attach it, but I swear I did (I didn't offload the data and didn't realize there were no data showing a cast until later in the cruise--it worked for the rest of the casts.)","NA"
"EN617","L2",2,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"Wire in/out speed ~8m/min","NA"
"EN617","L3",5,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"Wire speed ~15 m/min","NA"
"EN617","L4",8,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"Wire speed 20 down, 17 up. 20-100um size fraction lost","NA"
"EN617","L5",9,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"Wire speed ~18 up and down","NA"
"EN617","L6",12,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"NA","NA"
"EN617","L7",13,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"NA","NA"
"EN617","L8",14,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"up at 20m/min","NA"
"EN617","L9",17,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"NA","NA"
"EN617","L10",18,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"Crazy keeping track of measurements on wire, ship speed all over the place. Not sure how it went deeper than the bottom depth, unless we headed toward deeper water and got lucky. No mud in net.","NA"
"EN617","L11",21,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"~215 m of wire out (bad measurement, probably--JKL)","NA"
"EN617","MVCO",35,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"NA","NA"
"EN617","L1",1,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"For this entire cruise, using different winch from last cruise, and it doesn't have a wire out or speed reading. Yay. Had to mark off wire lengths with tape. All casts had same/similar speeds up and down. For this cast, speed was about 8m/min. Based on TDR data, we didn't attach it, but I swear I did (I didn't offload the data and didn't realize there were no data showing a cast until later in the cruise--it worked for the rest of the casts.)","NA"
"EN617","L2",2,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"Wire in/out speed ~8m/min","NA"
"EN617","L3",5,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"Wire speed ~15 m/min","NA"
"EN617","L4",8,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"Wire speed 20 down, 17 up. 20-100um size fraction lost","NA"
"EN617","L5",9,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"Wire speed ~18 up and down","NA"
"EN617","L6",12,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"NA","NA"
"EN617","L7",13,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"NA","NA"
"EN617","L8",14,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"up at 20m/min","NA"
"EN617","L9",17,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"NA","NA"
"EN617","L10",18,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"Crazy keeping track of measurements on wire, ship speed all over the place. Not sure how it went deeper than the bottom depth, unless we headed toward deeper water and got lucky. No mud in net.","NA"
"EN617","L11",21,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"~215 m of wire out (bad measurement, probably--JKL)","NA"
"EN617","MVCO",35,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"NA","NA"
"EN617","L1",1,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"For this entire cruise, using different winch from last cruise, and it doesn't have a wire out or speed reading. Yay. Had to mark off wire lengths with tape. All casts had same/similar speeds up and down. For this cast, speed was about 8m/min. Based on TDR data, we didn't attach it, but I swear I did (I didn't offload the data and didn't realize there were no data showing a cast until later in the cruise--it worked for the rest of the casts.)","NA"
"EN617","L2",2,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"Wire in/out speed ~8m/min","NA"
"EN617","L3",5,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"Wire speed ~15 m/min","NA"
"EN617","L4",8,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"Wire speed 20 down, 17 up. 20-100um size fraction lost","NA"
"EN617","L5",9,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"Wire speed ~18 up and down","NA"
"EN617","L6",12,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"NA","NA"
"EN617","L7",13,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"NA","NA"
"EN617","L8",14,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"up at 20m/min","NA"
"EN617","L9",17,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"NA","NA"
"EN617","L10",18,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"Crazy keeping track of measurements on wire, ship speed all over the place. Not sure how it went deeper than the bottom depth, unless we headed toward deeper water and got lucky. No mud in net.","NA"
"EN617","L11",21,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"~215 m of wire out (bad measurement, probably--JKL)","NA"
"EN617","MVCO",35,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"NA","NA"
"EN617","L1",1,"oblique","Bongo",150,"stableisotope",">200&<500","Llopiz","Frz",0.25,1,"For this entire cruise, using different winch from last cruise, and it doesn't have a wire out or speed reading. Yay. Had to mark off wire lengths with tape. All casts had same/similar speeds up and down. For this cast, speed was about 8m/min. Based on TDR data, we didn't attach it, but I swear I did (I didn't offload the data and didn't realize there were no data showing a cast until later in the cruise--it worked for the rest of the casts.)","NA"
"EN617","L2",2,"oblique","Bongo",150,"stableisotope",">200&<500","Llopiz","Frz",0.25,1,"Wire in/out speed ~8m/min","NA"
"EN617","L3",5,"oblique","Bongo",150,"stableisotope",">200&<500","Llopiz","Frz",0.25,1,"Wire speed ~15 m/min","NA"
"EN617","L4",8,"oblique","Bongo",150,"stableisotope",">200&<500","Llopiz","Frz",0.25,1,"Wire speed 20 down, 17 up. 20-100um size fraction lost","NA"
"EN617","L5",9,"oblique","Bongo",150,"stableisotope",">200&<500","Llopiz","Frz",0.25,1,"Wire speed ~18 up and down","NA"
"EN617","L6",12,"oblique","Bongo",150,"stableisotope",">200&<500","Llopiz","Frz",0.25,1,"NA","NA"
"EN617","L7",13,"oblique","Bongo",150,"stableisotope",">200&<500","Llopiz","Frz",0.25,1,"NA","NA"
